model,class,precision,recall,f1-score,support
Decision Tree,normal,0.9545927045927046,0.997137357484823,0.9754013277006639,20261.0
Decision Tree,failure,0.8164556962025317,0.21164889253486463,0.33615635179153097,1219.0
Random Forest,normal,0.9520696142991534,0.9990128818913183,0.9749765179066014,20261.0
Random Forest,failure,0.9090909090909091,0.16406890894175555,0.27797081306462823,1219.0
Gradient Boosting,normal,0.9721600311496155,0.9858348551404176,0.978949690004166,20261.0
Gradient Boosting,failure,0.6927194860813705,0.5307629204265791,0.6010218300046447,1219.0
XGBoost,normal,0.9818929235587746,0.9902768866294852,0.986067084408404,20261.0
XGBoost,failure,0.8116634799235182,0.6964725184577523,0.7496688741721854,1219.0
Artificial Neural Network,normal,0.9727680942494327,0.9943734267805143,0.9834521136385824,20261.0
Artificial Neural Network,failure,0.8517555266579974,0.5373256767842494,0.6589537223340041,1219.0
