model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__min_child_weight,param_model__n_estimators,param_model__reg_lambda,param_model__subsample,params,split0_test_recall,split1_test_recall,split2_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,mean_train_recall,std_train_recall,split0_test_pr_auc,split1_test_pr_auc,split2_test_pr_auc,mean_test_pr_auc,std_test_pr_auc,rank_test_pr_auc,split0_train_pr_auc,split1_train_pr_auc,split2_train_pr_auc,mean_train_pr_auc,std_train_pr_auc,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,mean_train_roc_auc,std_train_roc_auc,recall_gap,pr_auc_gap,param_model__class_weight,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split
XGBoost,1.294005314509074,0.13877085710993134,0.022725025812784832,0.00022510757303087633,0.9579821220208962,0.09579382929739055,3,7.0,423,7.902619549708233,0.9896896099223678,"{'model__colsample_bytree': np.float64(0.9579821220208962), 'model__learning_rate': np.float64(0.09579382929739055), 'model__max_depth': 3, 'model__min_child_weight': 7, 'model__n_estimators': 423, 'model__reg_lambda': np.float64(7.902619549708233), 'model__subsample': np.float64(0.9896896099223678)}",0.0,0.03934426229508197,0.7332601536772777,0.2575348053241199,0.3367718793121798,1,1.0,1.0,1.0,1.0,0.0,0.31612803450664045,0.718613909670609,0.8115393285732659,0.6154270909168384,0.2150096544275547,1,1.0,0.9998437726894458,0.9999622537937126,0.9999353421610527,6.655784511767356e-05,0.9172651715126723,0.9942756171567113,0.9703346293790864,0.96062513934949,0.03218030279585631,1,1.0,0.9999983179813767,0.9999994884669765,0.9999992688161177,7.040272424059508e-07,0.7424651946758801,0.3845082512442143,,,,
XGBoost,1.4218676090240479,0.19105368000666376,0.023447593053181965,0.0003630499597350634,0.9165996316800473,0.17361318509025225,4,8.0,426,1.7177621112338386,0.8834959481464842,"{'model__colsample_bytree': np.float64(0.9165996316800473), 'model__learning_rate': np.float64(0.17361318509025225), 'model__max_depth': 4, 'model__min_child_weight': 8, 'model__n_estimators': 426, 'model__reg_lambda': np.float64(1.7177621112338386), 'model__subsample': np.float64(0.8834959481464842)}",0.0,0.029508196721311476,0.7266739846322722,0.2520607271178612,0.3358183949446152,2,1.0,1.0,1.0,1.0,0.0,0.07911054530903992,0.7969300222959453,0.817107560222457,0.5643827092758141,0.34323809821554946,3,1.0,1.0,1.0,1.0,0.0,0.7720900630724112,0.9965121350182333,0.9580628465929691,0.9088883482278712,0.09799630966251807,5,1.0,1.0,1.0,1.0,0.0,0.7479392728821388,0.43561729072418587,,,,
XGBoost,1.2901540597279866,0.1626250969660588,0.023960272471110027,0.00020846032566940393,0.8123620356542087,0.1785436060870726,5,8.0,338,1.5620693675639872,0.8337498258560773,"{'model__colsample_bytree': np.float64(0.8123620356542087), 'model__learning_rate': np.float64(0.1785436060870726), 'model__max_depth': 5, 'model__min_child_weight': 8, 'model__n_estimators': 338, 'model__reg_lambda': np.float64(1.5620693675639872), 'model__subsample': np.float64(0.8337498258560773)}",0.0,0.022950819672131147,0.6915477497255763,0.23816618979923584,0.3207260660769946,3,1.0,1.0,1.0,1.0,0.0,0.14390833154984098,0.7732986840021786,0.8146255295937095,0.5772775150485764,0.30690238833262823,2,1.0,1.0,1.0,1.0,0.0,0.8284603306670465,0.9960222008067477,0.9625278187626434,0.9290034500788126,0.0723977787546717,3,1.0,1.0,1.0,1.0,0.0,0.7618338102007641,0.4227224849514236,,,,
XGBoost,1.0512920220692952,0.14155688664875002,0.02361321449279785,0.0019134676056561523,0.8829989973347863,0.13621499142748245,5,6.0,230,0.3292759134423616,0.8987566853061946,"{'model__colsample_bytree': np.float64(0.8829989973347863), 'model__learning_rate': np.float64(0.13621499142748245), 'model__max_depth': 5, 'model__min_child_weight': 6, 'model__n_estimators': 230, 'model__reg_lambda': np.float64(0.3292759134423616), 'model__subsample': np.float64(0.8987566853061946)}",0.0,0.01639344262295082,0.6750823271130626,0.23049192324533782,0.31444411972951886,4,1.0,1.0,1.0,1.0,0.0,0.042069820642537566,0.7684105365209027,0.8077625900628531,0.5394143157420977,0.35204242749406356,5,1.0,1.0,1.0,1.0,0.0,0.7046593627391711,0.9948922767757133,0.9508738845946945,0.883475174703193,0.12771250439643678,7,1.0,1.0,0.9999999999999999,1.0,6.409875621278546e-17,0.7695080767546622,0.46058568425790225,,,,
XGBoost,1.4531153043111165,0.17753737733214725,0.02675167719523112,0.000959977723151728,0.7299924747454009,0.05758095819586592,7,4.0,301,2.0034427927560734,0.71692347370813,"{'model__colsample_bytree': np.float64(0.7299924747454009), 'model__learning_rate': np.float64(0.05758095819586592), 'model__max_depth': 7, 'model__min_child_weight': 4, 'model__n_estimators': 301, 'model__reg_lambda': np.float64(2.0034427927560734), 'model__subsample': np.float64(0.71692347370813)}",0.0,0.013114754098360656,0.6630076838638859,0.22537414598741548,0.3094999561652873,5,1.0,1.0,1.0,1.0,0.0,0.06316688790057973,0.7375772075295436,0.8147379581849595,0.5384940178716943,0.33757997148859353,6,1.0,1.0,1.0,1.0,0.0,0.7494008250162054,0.9959013079493682,0.972087080455491,0.9057964044736883,0.11101490084117503,6,1.0,1.0,1.0,1.0,0.0,0.7746258540125845,0.46150598212830574,,,,
XGBoost,2.136843760808309,0.24403056869882633,0.03009796142578125,0.001519602081934205,0.9425192044349383,0.040331443383617174,7,2.0,489,0.3034247005811288,0.9049790556476374,"{'model__colsample_bytree': np.float64(0.9425192044349383), 'model__learning_rate': np.float64(0.040331443383617174), 'model__max_depth': 7, 'model__min_child_weight': 2, 'model__n_estimators': 489, 'model__reg_lambda': np.float64(0.3034247005811288), 'model__subsample': np.float64(0.9049790556476374)}",0.0,0.029508196721311476,0.5850713501646543,0.20485984896198858,0.26911988983044266,6,1.0,1.0,1.0,1.0,0.0,0.04833351220284873,0.7834421799910759,0.8045577380244429,0.5454444767394558,0.3516162207053328,4,1.0,1.0,1.0,1.0,0.0,0.7622732146021493,0.9970778923814965,0.9790505378553691,0.9128005482796716,0.10669303324913265,4,1.0,0.9999999999999999,1.0,1.0,6.409875621278546e-17,0.7951401510380114,0.45455552326054416,,,,
XGBoost,1.087427059809367,0.10306787214266372,0.022253990173339844,0.000332120475240513,0.7698314021290912,0.02463975755279057,8,3.0,204,9.25681899206688,0.8400288679743939,"{'model__colsample_bytree': np.float64(0.7698314021290912), 'model__learning_rate': np.float64(0.02463975755279057), 'model__max_depth': 8, 'model__min_child_weight': 3, 'model__n_estimators': 204, 'model__reg_lambda': np.float64(9.25681899206688), 'model__subsample': np.float64(0.8400288679743939)}",0.0,0.029508196721311476,0.5027442371020856,0.17741747794113236,0.2303559688656704,7,1.0,1.0,1.0,1.0,0.0,0.10599506656008084,0.4951304965371124,0.716674413579377,0.4392666588921901,0.2524188219161323,7,0.990657696317844,0.9925359103373601,0.9967268794246815,0.9933068286932952,0.0025369906358674752,0.8636585042926634,0.9887036759647236,0.9766811820896301,0.9430144541156724,0.056327377410859455,2,0.999925174326683,0.9999200911767954,0.9999558181619945,0.9999336945551577,1.5780791864368806e-05,0.8225825220588676,0.5540401698011052,,,,
XGBoost,1.2426523367563884,0.12272330493825247,0.02380990982055664,0.00016254809184870685,0.7021198915659151,0.02109076927540637,5,3.0,319,0.12397420340784142,0.9921266556524377,"{'model__colsample_bytree': np.float64(0.7021198915659151), 'model__learning_rate': np.float64(0.02109076927540637), 'model__max_depth': 5, 'model__min_child_weight': 3, 'model__n_estimators': 319, 'model__reg_lambda': np.float64(0.12397420340784142), 'model__subsample': np.float64(0.9921266556524377)}",0.0,0.013114754098360656,0.4807903402854007,0.16463503146125377,0.22361966769052896,8,1.0,1.0,1.0,1.0,0.0,0.046070685464728076,0.526824353744823,0.7077300272866405,0.42687502216539713,0.279213983433772,8,0.996444193793491,0.9983743473607145,0.9988181468586215,0.9978788960042756,0.0010305394457300406,0.6510671992155941,0.9822693127002453,0.9165604668067897,0.8499656595742097,0.14317788762452885,8,0.9999743536432678,0.9999830245505109,0.9999844786265426,0.999980618940107,4.4698279340398985e-06,0.8353649685387462,0.5710038738388785,,,,
Random Forest,2.265761375427246,0.5787243540078723,0.06838870048522949,0.0006280963593576172,,,20,,321,,,"{'model__class_weight': 'balanced', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__min_samples_split': 8, 'model__n_estimators': 321}",0.0,0.006557377049180328,0.48737650933040616,0.1646446287931955,0.22822160259238475,1,1.0,1.0,1.0,1.0,0.0,0.6916930752925882,0.7307161371481018,0.6841402732325134,0.7021831618910678,0.020410115343517853,2,0.9946436572244909,0.9973934106324751,0.9984351572046503,0.9968240750205388,0.001599369730894297,0.9740146892288658,0.996493576904162,0.9733118281173556,0.9812733647501277,0.01076613972743172,2,0.9999545905264986,0.9999699565596695,0.9999782671541138,0.9999676047467606,9.80795397540164e-06,0.8353553712068045,0.29464091312947105,balanced,sqrt,8.0,8.0
Random Forest,3.902552286783854,0.9986740493762899,0.11820475260416667,0.0012317425635762279,,,,,587,,,"{'model__class_weight': 'balanced', 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 7, 'model__min_samples_split': 19, 'model__n_estimators': 587}",0.0,0.006557377049180328,0.4676180021953897,0.15805845974819,0.21890802107815507,2,1.0,1.0,1.0,1.0,0.0,0.6906741183581248,0.7237881394950604,0.6723290394902922,0.6955970991144924,0.02129454621839213,3,0.9952828631031923,0.9974399812331887,0.9983210534321131,0.9970146325894981,0.0012762813744636237,0.9602420652574434,0.9963461724552517,0.9704722070066139,0.9756868149064363,0.015193655272281184,3,0.999960016815785,0.9999704482266517,0.9999767471702724,0.9999690707375697,6.899241380873354e-06,0.84194154025181,0.30141753347500566,balanced,sqrt,7.0,19.0
