feature,importance,rank,cumulative_importance,method,feature_type,source_sensor_family
drivetrain_vibration_rms_mmps_past_3h_mean,0.44906873,1,0.44906873,Fitted tree importance,Engineered,Drivetrain vibration
yaw_misalignment_cos,0.17855221,2,0.62762094,Fitted tree importance,Engineered,Yaw misalignment
drivetrain_vibration_rms_mmps_past_1h_mean,0.12503003,3,0.752651,Fitted tree importance,Engineered,Drivetrain vibration
tower_vibration_mmps,0.10528068,4,0.8579317,Fitted tree importance,Original,Tower vibration
vib_fft_gearmesh,0.02135122,5,0.8792829,Fitted tree importance,Original,FFT vibration signals
drivetrain_vibration_rms_mmps,0.016937314,6,0.8962202,Fitted tree importance,Original,Drivetrain vibration
drivetrain_vibration_rms_mmps_lag1,0.010878392,7,0.9070986,Fitted tree importance,Engineered,Drivetrain vibration
fft_spread,0.010866987,8,0.9179656,Fitted tree importance,Engineered,FFT vibration signals
gearmesh_sideband_ratio,0.0069699157,9,0.9249355,Fitted tree importance,Engineered,FFT vibration signals
vib_fft_bearing_bpfo,0.0049558096,10,0.92989135,Fitted tree importance,Original,FFT vibration signals
vib_fft_bearing_bpfi,0.0045266873,11,0.934418,Fitted tree importance,Original,FFT vibration signals
wind_direction_cos,0.003640718,12,0.93805873,Fitted tree importance,Engineered,Wind direction
oil_particles_per_pressure,0.0035936441,13,0.94165236,Fitted tree importance,Engineered,Oil particle count
vib_fft_sideband,0.0034527662,14,0.94510514,Fitted tree importance,Original,FFT vibration signals
absolute_yaw_misalignment,0.003115096,15,0.94822025,Fitted tree importance,Engineered,Yaw misalignment
oil_particle_count_past_3h_mean,0.0025685912,16,0.95078886,Fitted tree importance,Engineered,Oil particle count
bearing_fft_sum,0.0023819567,17,0.95317084,Fitted tree importance,Engineered,FFT vibration signals
oil_particle_count_lag1,0.0023120956,18,0.95548296,Fitted tree importance,Engineered,Oil particle count
oil_particle_count_past_1h_mean,0.002299119,19,0.9577821,Fitted tree importance,Engineered,Oil particle count
fft_max,0.0021113975,20,0.95989347,Fitted tree importance,Engineered,FFT vibration signals
wind_direction_deg,0.0017993225,21,0.9616928,Fitted tree importance,Original,Wind direction
rated_power_kW_1500,0.0015957305,22,0.96328855,Fitted tree importance,Original,Rated power
vibration_per_rotor_rpm,0.0013887897,23,0.96467733,Fitted tree importance,Engineered,Drivetrain vibration
gearbox_bearing_temp_C_past_3h_mean,0.0013118011,24,0.9659891,Fitted tree importance,Engineered,Gearbox temperature
main_bearing_temp_C_past_1h_mean,0.0011911369,25,0.96718025,Fitted tree importance,Engineered,Main-bearing temperature
fft_mean,0.00118569,26,0.96836597,Fitted tree importance,Engineered,FFT vibration signals
main_bearing_temp_C_past_1h_std,0.0010748084,27,0.96944076,Fitted tree importance,Engineered,Main-bearing temperature
generator_winding_temp_C_past_3h_std,0.0010728542,28,0.97051364,Fitted tree importance,Engineered,Generator temperature
gearbox_bearing_temp_C_past_1h_mean,0.0010260615,29,0.9715397,Fitted tree importance,Engineered,Gearbox temperature
main_bearing_temp_C,0.0010198721,30,0.9725596,Fitted tree importance,Original,Main-bearing temperature
oil_particle_count,0.0010025204,31,0.9735621,Fitted tree importance,Original,Oil particle count
generator_winding_temp_C_past_1h_std,0.0009956107,32,0.97455776,Fitted tree importance,Engineered,Generator temperature
oil_pressure_bar_past_3h_mean,0.0009524856,33,0.97551024,Fitted tree importance,Engineered,Oil pressure
gearbox_oil_temp_C,0.00088465813,34,0.9763949,Fitted tree importance,Original,Gearbox Oil Temp C
generator_winding_temp_C_past_1h_mean,0.00088452984,35,0.9772794,Fitted tree importance,Engineered,Generator temperature
wind_direction_sin,0.0008767558,36,0.9781562,Fitted tree importance,Engineered,Wind direction
ambient_temp_C,0.0008493471,37,0.9790056,Fitted tree importance,Original,Ambient Temp C
main_bearing_temp_rise,0.0008396885,38,0.9798453,Fitted tree importance,Engineered,Main-bearing temperature
gearbox_bearing_temp_C_past_3h_std,0.0008290008,39,0.98067427,Fitted tree importance,Engineered,Gearbox temperature
oil_pressure_bar_past_3h_std,0.0007757374,40,0.98145,Fitted tree importance,Engineered,Oil pressure
gearbox_bearing_temp_C_lag1,0.000758299,41,0.9822083,Fitted tree importance,Engineered,Gearbox temperature
oil_particle_count_past_3h_std,0.00075709965,42,0.9829654,Fitted tree importance,Engineered,Oil particle count
main_bearing_temp_C_past_3h_mean,0.0007496485,43,0.98371506,Fitted tree importance,Engineered,Main-bearing temperature
generator_speed_rpm,0.00074305345,44,0.9844581,Fitted tree importance,Original,Drivetrain speed
generator_bearing_temp_C,0.00068262796,45,0.98514074,Fitted tree importance,Original,Generator Bearing Temp C
gearbox_nacelle_temp_gap,0.00067938794,46,0.9858201,Fitted tree importance,Engineered,Gearbox temperature
drivetrain_vibration_rms_mmps_past_3h_std,0.0006692251,47,0.98648936,Fitted tree importance,Engineered,Drivetrain vibration
generator_winding_temp_C_lag1,0.00065642607,48,0.9871458,Fitted tree importance,Engineered,Generator temperature
generator_winding_temp_rise,0.0005779939,49,0.98772377,Fitted tree importance,Engineered,Generator temperature
oil_pressure_bar_past_1h_std,0.0005773912,50,0.98830116,Fitted tree importance,Engineered,Oil pressure
main_bearing_temp_C_past_3h_std,0.00056642614,51,0.9888676,Fitted tree importance,Engineered,Main-bearing temperature
oil_pressure_bar_past_1h_mean,0.00056491944,52,0.9894325,Fitted tree importance,Engineered,Oil pressure
blade_pitch_angle_deg,0.0005516583,53,0.98998415,Fitted tree importance,Original,Blade Pitch Angle Deg
oil_pressure_bar_lag1,0.00054960814,54,0.99053377,Fitted tree importance,Engineered,Oil pressure
humidity_pct,0.0005389954,55,0.9910728,Fitted tree importance,Original,Humidity Pct
turbulence_intensity,0.00053702627,56,0.9916098,Fitted tree importance,Original,Turbulence Intensity
gearbox_temp_rise,0.00051987893,57,0.9921297,Fitted tree importance,Engineered,Gearbox temperature
drivetrain_vibration_rms_mmps_past_1h_std,0.00048847724,58,0.99261814,Fitted tree importance,Engineered,Drivetrain vibration
gearbox_bearing_temp_C,0.0004868751,59,0.993105,Fitted tree importance,Original,Gearbox temperature
generator_winding_temp_C_past_3h_mean,0.00048423646,60,0.9935892,Fitted tree importance,Engineered,Generator temperature
nacelle_temp_C,0.0004575852,61,0.9940468,Fitted tree importance,Original,Nacelle Temp C
power_output_kW,0.0004391812,62,0.994486,Fitted tree importance,Original,Power output
gearbox_bearing_temp_C_past_1h_std,0.0004382221,63,0.9949242,Fitted tree importance,Engineered,Gearbox temperature
